starttime,seconds,ctime,dtime,ttime,wait
Sun Dec 12 15:15:37 2021,1639340137,0,667,667,667
Sun Dec 12 15:15:38 2021,1639340138,0,667,668,667
Sun Dec 12 15:15:32 2021,1639340132,0,670,670,670
Sun Dec 12 15:15:40 2021,1639340140,0,670,670,670
Sun Dec 12 15:15:26 2021,1639340126,0,673,673,673
Sun Dec 12 15:15:36 2021,1639340136,0,673,673,673
Sun Dec 12 15:15:41 2021,1639340141,0,673,673,673
Sun Dec 12 15:15:26 2021,1639340126,0,674,674,673
Sun Dec 12 15:15:25 2021,1639340125,0,675,675,675
Sun Dec 12 15:15:30 2021,1639340130,0,676,676,676
Sun Dec 12 15:15:26 2021,1639340126,0,677,677,677
Sun Dec 12 15:15:35 2021,1639340135,0,682,682,682
Sun Dec 12 15:15:26 2021,1639340126,0,683,683,683
Sun Dec 12 15:15:26 2021,1639340126,0,684,684,684
Sun Dec 12 15:15:35 2021,1639340135,0,685,685,685
Sun Dec 12 15:15:29 2021,1639340129,0,687,687,687
Sun Dec 12 15:15:36 2021,1639340136,0,688,688,688
Sun Dec 12 15:15:38 2021,1639340138,0,690,690,690
Sun Dec 12 15:15:33 2021,1639340133,0,691,691,691
Sun Dec 12 15:15:34 2021,1639340134,0,693,693,693
Sun Dec 12 15:15:38 2021,1639340138,0,695,695,694
Sun Dec 12 15:15:25 2021,1639340125,0,696,696,696
Sun Dec 12 15:15:26 2021,1639340126,0,697,697,697
Sun Dec 12 15:15:31 2021,1639340131,0,697,697,690
Sun Dec 12 15:15:37 2021,1639340137,0,698,698,698
Sun Dec 12 15:15:38 2021,1639340138,0,699,699,694
Sun Dec 12 15:15:25 2021,1639340125,0,700,700,700
Sun Dec 12 15:15:40 2021,1639340140,0,705,705,705
Sun Dec 12 15:15:40 2021,1639340140,0,707,708,707
Sun Dec 12 15:15:30 2021,1639340130,0,709,709,709
Sun Dec 12 15:15:25 2021,1639340125,0,710,710,707
Sun Dec 12 15:15:29 2021,1639340129,0,711,711,711
Sun Dec 12 15:15:26 2021,1639340126,0,713,713,713
Sun Dec 12 15:15:30 2021,1639340130,0,714,714,714
Sun Dec 12 15:15:36 2021,1639340136,0,715,715,715
Sun Dec 12 15:15:37 2021,1639340137,0,717,717,715
Sun Dec 12 15:15:30 2021,1639340130,0,720,720,720
Sun Dec 12 15:15:24 2021,1639340124,2,722,725,722
Sun Dec 12 15:15:31 2021,1639340131,0,725,725,725
Sun Dec 12 15:15:31 2021,1639340131,0,725,725,725
Sun Dec 12 15:15:32 2021,1639340132,0,725,725,725
Sun Dec 12 15:15:26 2021,1639340126,0,725,725,725
Sun Dec 12 15:15:40 2021,1639340140,0,726,726,726
Sun Dec 12 15:15:37 2021,1639340137,0,727,727,727
Sun Dec 12 15:15:40 2021,1639340140,0,727,727,727
Sun Dec 12 15:15:39 2021,1639340139,0,739,739,739
Sun Dec 12 15:15:33 2021,1639340133,0,740,740,740
Sun Dec 12 15:15:31 2021,1639340131,0,740,740,740
Sun Dec 12 15:15:36 2021,1639340136,0,743,743,743
Sun Dec 12 15:15:35 2021,1639340135,0,745,745,745
Sun Dec 12 15:15:37 2021,1639340137,0,747,747,747
Sun Dec 12 15:15:36 2021,1639340136,0,747,747,747
Sun Dec 12 15:15:29 2021,1639340129,0,748,748,748
Sun Dec 12 15:15:26 2021,1639340126,0,748,748,748
Sun Dec 12 15:15:28 2021,1639340128,0,750,750,750
Sun Dec 12 15:15:32 2021,1639340132,0,752,752,752
Sun Dec 12 15:15:29 2021,1639340129,0,753,753,753
Sun Dec 12 15:15:33 2021,1639340133,0,762,762,761
Sun Dec 12 15:15:37 2021,1639340137,0,762,762,762
Sun Dec 12 15:15:31 2021,1639340131,0,764,764,764
Sun Dec 12 15:15:27 2021,1639340127,0,768,768,768
Sun Dec 12 15:15:25 2021,1639340125,0,769,769,768
Sun Dec 12 15:15:27 2021,1639340127,0,769,769,769
Sun Dec 12 15:15:36 2021,1639340136,0,769,769,769
Sun Dec 12 15:15:25 2021,1639340125,0,771,771,771
Sun Dec 12 15:15:25 2021,1639340125,0,772,772,772
Sun Dec 12 15:15:32 2021,1639340132,0,772,772,772
Sun Dec 12 15:15:33 2021,1639340133,0,774,774,774
Sun Dec 12 15:15:35 2021,1639340135,0,775,775,775
Sun Dec 12 15:15:27 2021,1639340127,0,775,775,775
Sun Dec 12 15:15:29 2021,1639340129,0,776,776,776
Sun Dec 12 15:15:35 2021,1639340135,0,777,777,777
Sun Dec 12 15:15:34 2021,1639340134,0,777,777,777
Sun Dec 12 15:15:25 2021,1639340125,0,780,780,780
Sun Dec 12 15:15:32 2021,1639340132,0,780,780,780
Sun Dec 12 15:15:35 2021,1639340135,0,782,782,782
Sun Dec 12 15:15:39 2021,1639340139,0,784,784,784
Sun Dec 12 15:15:39 2021,1639340139,0,785,785,784
Sun Dec 12 15:15:40 2021,1639340140,0,786,786,786
Sun Dec 12 15:15:39 2021,1639340139,0,787,787,784
Sun Dec 12 15:15:37 2021,1639340137,0,789,790,789
Sun Dec 12 15:15:40 2021,1639340140,0,792,792,792
Sun Dec 12 15:15:39 2021,1639340139,0,793,793,792
Sun Dec 12 15:15:38 2021,1639340138,0,793,793,792
Sun Dec 12 15:15:25 2021,1639340125,0,793,793,793
